"filename", "language", "JSON", "comment", "blank", "total"
"c:\Users\httpi\github\GalaxOS-EE\SD\GALAXOS\REGISTRY\DISPLAY.GRF", "JSON", 6, 0, 0, 6
"c:\Users\httpi\github\GalaxOS-EE\SD\GALAXOS\REGISTRY\DRIVE.GRF", "JSON", 6, 0, 0, 6
"c:\Users\httpi\github\GalaxOS-EE\SD\GALAXOS\REGISTRY\KEYBOARD.GRF", "JSON", 4, 0, 0, 4
"c:\Users\httpi\github\GalaxOS-EE\SD\GALAXOS\REGISTRY\NETWORK.GRF", "JSON", 15, 0, 0, 15
"c:\Users\httpi\github\GalaxOS-EE\SD\GALAXOS\REGISTRY\REGIONAL.GRF", "JSON", 9, 0, 2, 11
"c:\Users\httpi\github\GalaxOS-EE\SD\GALAXOS\REGISTRY\SOFTWARE.GRF", "JSON", 3, 0, 0, 3
"c:\Users\httpi\github\GalaxOS-EE\SD\GALAXOS\REGISTRY\SOUND.GRF", "JSON", 4, 0, 0, 4
"c:\Users\httpi\github\GalaxOS-EE\SD\SOFTWARE\SHELL\REGISTRY\STYLE.GRF", "JSON", 4, 0, 0, 4
"c:\Users\httpi\github\GalaxOS-EE\SD\USERS\ALIX\REGISTRY\SHELL.GRF", "JSON", 4, 0, 0, 4
"c:\Users\httpi\github\GalaxOS-EE\SD\USERS\ALIX\REGISTRY\USER.GRF", "JSON", 4, 0, 0, 4
"Total", "-", 59, 0, 2, 61