"filename", "language", "Ini", "C++", "YAML", "comment", "blank", "total"
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\.travis.yml", "YAML", 0, 0, 14, 0, 5, 19
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Configuration.hpp", "C++", 0, 27, 0, 2, 9, 38
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Core.hpp", "C++", 0, 208, 0, 70, 74, 352
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Display.hpp", "C++", 0, 155, 0, 8, 41, 204
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Instruction.hpp", "C++", 0, 14, 0, 0, 3, 17
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Internet_Browser.hpp", "C++", 0, 132, 0, 21, 39, 192
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Keyboard.hpp", "C++", 0, 54, 0, 0, 19, 73
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Music_Player.hpp", "C++", 0, 9, 0, 0, 9, 18
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Oscilloscope.hpp", "C++", 0, 62, 0, 12, 27, 101
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Shell.hpp", "C++", 0, 38, 0, 0, 21, 59
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Signal_generator.hpp", "C++", 0, 18, 0, 0, 10, 28
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Sound.hpp", "C++", 0, 45, 0, 0, 24, 69
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\Tiny_Basic.hpp", "C++", 0, 274, 0, 39, 56, 369
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\calculator.hpp", "C++", 0, 27, 0, 0, 20, 47
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\galaxos.hpp", "C++", 0, 6, 0, 74, 3, 83
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\paint.hpp", "C++", 0, 16, 0, 0, 10, 26
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\periodic.hpp", "C++", 0, 22, 0, 0, 14, 36
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\piano.hpp", "C++", 0, 19, 0, 0, 11, 30
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\software.hpp", "C++", 0, 52, 0, 3, 24, 79
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\include\ultrasonic.hpp", "C++", 0, 27, 0, 0, 17, 44
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\platformio.ini", "Ini", 9, 0, 0, 9, 2, 20
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Core.cpp", "C++", 0, 654, 0, 635, 88, 1377
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Display.cpp", "C++", 0, 608, 0, 4, 58, 670
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\GalaxOS.cpp", "C++", 0, 2, 0, 0, 1, 3
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Instruction.cpp", "C++", 0, 7, 0, 1, 1, 9
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Internet_Browser.cpp", "C++", 0, 1099, 0, 75, 134, 1308
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Keyboard.cpp", "C++", 0, 305, 0, 40, 28, 373
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Main.cpp", "C++", 0, 8, 0, 0, 4, 12
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Music_Player.cpp", "C++", 0, 23, 0, 1, 9, 33
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Oscilloscope.cpp", "C++", 0, 521, 0, 6, 33, 560
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Paint.cpp", "C++", 0, 40, 0, 0, 11, 51
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Periodic.cpp", "C++", 0, 106, 0, 1, 10, 117
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Piano.cpp", "C++", 0, 128, 0, 0, 35, 163
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Shell.cpp", "C++", 0, 303, 0, 10, 32, 345
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Signal_generator.cpp", "C++", 0, 40, 0, 1, 7, 48
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Software.cpp", "C++", 0, 66, 0, 3, 16, 85
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Sound.cpp", "C++", 0, 193, 0, 28, 31, 252
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Tiny_Basic.cpp", "C++", 0, 1381, 0, 142, 213, 1736
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\Ultrasonic.cpp", "C++", 0, 142, 0, 0, 12, 154
"c:\Users\httpi\github\GalaxOS-EE\Espressif 32\src\calculator.cpp", "C++", 0, 174, 0, 0, 35, 209
"Total", "-", 9, 7005, 14, 1185, 1196, 9409